Title,Author,ASIN,Publisher,Publication date,Language,File size,Text-to-Speech,Enhanced typesetting,X-Ray,Word Wise,Print length,Lending,Best Sellers Rank,Customer Reviews
The Secret Life of the American Musical: How Broadway Shows Are Built,Jack Viertel,B011I5QMRA,"Sarah Crichton Books (March 1, 2016)","March 1, 2016",English,940 KB,Enabled,Enabled,Not Enabled,Enabled,326 pages,Not Enabled,"#5 in Musicals (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156336011/ref=pd_zg_hrsr_digital-text), #7 in Drama & Plays Literary Criticism(https://www.amazon.com/gp/bestsellers/digital-text/17739677011/ref=pd_zg_hrsr_digital-text), #9 in Broadway & Musicals (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/154706011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 303 ratings"
Mi Primera Vez con una Transexual Caliente: Emocionantes Historias de Sexo con Transexual (Spanish edition),,B083V21LDM,,"January 13, 2020",Spanish,574 KB,Enabled,Enabled,,Not Enabled,75 pages,Enabled,"#100 in LGBTQ+ Travel (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/10886546011/ref=pd_zg_hrsr_digital-text), #168 in LGBTQ+ Travel (Books)(https://www.amazon.com/gp/bestsellers/books/17217/ref=pd_zg_hrsr_books), #660 in Travel in Spanish(https://www.amazon.com/gp/bestsellers/digital-text/8407430011/ref=pd_zg_hrsr_digital-text)","None, None"
"Hollywood Dealmaking: Negotiating Talent Agreements for Film, TV, and Digital Media (Third Edition)",,B075X2HD7F,"Allworth; 3rd edition (July 17, 2018)","July 17, 2018",English,2688 KB,Enabled,Enabled,Not Enabled,Enabled,410 pages,Not Enabled,"#11 in Entertainment Law (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156970011/ref=pd_zg_hrsr_digital-text), #26 in Arbitration, Negotiation & Mediation (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157006011/ref=pd_zg_hrsr_digital-text), #30 in Patent, Trademark & Copyright Law (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156972011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 42 ratings"
The World of Critical Role: The History Behind the Epic Fantasy,"Cast of Critical Role, &, more",B082S2LPST,"Ten Speed Press (October 20, 2020)","October 20, 2020",English,280807 KB,Enabled,Enabled,Enabled,Enabled,293 pages,Not Enabled,"#7 in Science Fiction, Fantasy & Horror Television (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/16232508011/ref=pd_zg_hrsr_digital-text), #14 in Science Fiction & Fantasy Art (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/11650843011/ref=pd_zg_hrsr_digital-text), #85 in Science Fiction, Fantasy & Horror Television (Books)(https://www.amazon.com/gp/bestsellers/books/16926969011/ref=pd_zg_hrsr_books)","4.9 out of 5 stars, 1,851 ratings"
"The Third Pole: Mystery, Obsession, and Death on Mount Everest",Mark Synnott,B08D8JHFX5,"Dutton (April 13, 2021)","April 13, 2021",English,40608 KB,Enabled,Enabled,Not Enabled,Enabled,448 pages,Not Enabled,"#3 in Mountaineering (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159882011/ref=pd_zg_hrsr_digital-text), #8 in Expeditions & Discoveries World History (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156686011/ref=pd_zg_hrsr_digital-text), #17 in History of Anthropology(https://www.amazon.com/gp/bestsellers/digital-text/10704235011/ref=pd_zg_hrsr_digital-text)","None, None"
3-Minute Inspirational Reflections for the Soul: 50 Daily Truths and Journal Prompts,Anita M. Oommen,B087N7GPC7,"Oxborough Publishing (April 23, 2020)","April 23, 2020",English,357 KB,Enabled,Enabled,Not Enabled,Enabled,117 pages,Enabled,"#79 in Christian Quotations(https://www.amazon.com/gp/bestsellers/digital-text/158405011/ref=pd_zg_hrsr_digital-text), #100 in Teen Health (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/11717493011/ref=pd_zg_hrsr_digital-text), #114 in Group Therapy(https://www.amazon.com/gp/bestsellers/digital-text/11717466011/ref=pd_zg_hrsr_digital-text)","4.8 out of 5 stars, 37 ratings"
El hombre en busca de sentido (Spanish Edition),,B019H695T4,"Herder Editorial; 3rd edition (December 16, 2015)","December 16, 2015",Spanish,1293 KB,Enabled,Enabled,,Not Enabled,165 pages,Not Enabled,"#5 in Personal Development & Self-Help in Spanish(https://www.amazon.com/gp/bestsellers/digital-text/8407421011/ref=pd_zg_hrsr_digital-text), #10 in TA & NLP Psychotherapy(https://www.amazon.com/gp/bestsellers/digital-text/156540011/ref=pd_zg_hrsr_digital-text), #79 in Popular Psychology Psychotherapy(https://www.amazon.com/gp/bestsellers/books/11203/ref=pd_zg_hrsr_books)","4.7 out of 5 stars, 4,579 ratings"
The Taking of K-129: How the CIA Used Howard Hughes to Steal a Russian Sub in the Most Daring Covert Operation in History,Josh Dean,B06XVHYDPR,"Dutton; Reprint edition (September 5, 2017)","September 5, 2017",English,2325 KB,Enabled,Enabled,Enabled,Enabled,442 pages,Not Enabled,"#5 in Submarines (Books)(https://www.amazon.com/gp/bestsellers/books/13922617011/ref=pd_zg_hrsr_books), #16 in Ship History (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157551011/ref=pd_zg_hrsr_digital-text), #19 in Marine Engineering(https://www.amazon.com/gp/bestsellers/books/107157011/ref=pd_zg_hrsr_books)","4.6 out of 5 stars, 514 ratings"
"Princeton Review AP Human Geography Premium Prep, 2021: 6 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation)",The Princeton Review,B088F3MNGW,"Princeton Review (October 27, 2020)","October 27, 2020",English,52076 KB,Enabled,Enabled,Not Enabled,Enabled,479 pages,Not Enabled,"#4 in Advanced Placement Test Guides(https://www.amazon.com/gp/bestsellers/digital-text/158167011/ref=pd_zg_hrsr_digital-text), #5 in College Entrance Test Guides (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/158169011/ref=pd_zg_hrsr_digital-text), #11 in Human Geography (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157505011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 266 ratings"
Do-It-Yourself Wedding Ceremony: Choosing the Perfect Words and Officiating Your Unforgettable Day,Dayna Reid,B00L3SWX0S,,"June 18, 2014",English,2474 KB,Enabled,Enabled,Not Enabled,Enabled,254 pages,Enabled,"#98 in Weddings (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156914011/ref=pd_zg_hrsr_digital-text), #125 in Wedding Ceremony, Vows & Toasts(https://www.amazon.com/gp/bestsellers/books/5419/ref=pd_zg_hrsr_books), #13,981 in Reference eBooks(https://www.amazon.com/gp/bestsellers/digital-text/9154158011/ref=pd_zg_hrsr_digital-text)","4.8 out of 5 stars, 112 ratings"
"DR SEBI: The Step by Step Guide to Cleanse the Colon, Detox the Liver and Lower High Blood Pressure Naturally | The Eat to Live Plan with Dr. Sebi Alkaline Diet, Sea moss & Herbs",Kerri M. Williams,B08GCW16XN,"Alkaline Vegan Lounge (August 19, 2020)","August 19, 2020",English,16693 KB,Enabled,Enabled,Enabled,Enabled,114 pages,Enabled,"#1 in Oral Surgery (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157166011/ref=pd_zg_hrsr_digital-text), #1 in Dental Assisting (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157163011/ref=pd_zg_hrsr_digital-text), #31 in Heart Disease (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156473011/ref=pd_zg_hrsr_digital-text)","4.5 out of 5 stars, 212 ratings"
Designing with the Mind in Mind: Simple Guide to Understanding User Interface Design Guidelines,Jeff Johnson,B08GJNJ9ZF,"Morgan Kaufmann; 3rd edition (August 14, 2020)","August 14, 2020",English,160162 KB,Enabled,Enabled,Not Enabled,Not Enabled,289 pages,Not Enabled,"#29 in Human-Computer Interaction (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/16977181011/ref=pd_zg_hrsr_digital-text), #29 in User Experience & Usability(https://www.amazon.com/gp/bestsellers/digital-text/16977314011/ref=pd_zg_hrsr_digital-text), #34 in Internet Culture(https://www.amazon.com/gp/bestsellers/digital-text/16977303011/ref=pd_zg_hrsr_digital-text)","4.4 out of 5 stars, 105 ratings"
"The Promised Neverland, Vol. 12: Starting Sound",,B07XFM9VXT,"VIZ Media: SHONEN JUMP; Illustrated edition (October 1, 2019)","October 1, 2019",English,134474 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,192 pages,Not Enabled,"#28 in Dystopian & Post-Apocalyptic Manga(https://www.amazon.com/gp/bestsellers/digital-text/11468697011/ref=pd_zg_hrsr_digital-text), #50 in Teen & Young Adult Fantasy Comics & Graphic Novels(https://www.amazon.com/gp/bestsellers/digital-text/16232517011/ref=pd_zg_hrsr_digital-text), #74 in Mystery Manga (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/6391518011/ref=pd_zg_hrsr_digital-text)","4.9 out of 5 stars, 1,091 ratings"
Pool Party (Dottie Dotts the Cat Books),Ashley Madden,B08HTPVGRN,,"September 10, 2020",English,6204 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,24 pages,Enabled,"#9 in Children's Water Sports Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156098011/ref=pd_zg_hrsr_digital-text), #40 in Children's Short Stories(https://www.amazon.com/gp/bestsellers/digital-text/155751011/ref=pd_zg_hrsr_digital-text), #82 in Baby & Toddler Beginner Readers Books(https://www.amazon.com/gp/bestsellers/digital-text/7090571011/ref=pd_zg_hrsr_digital-text)","4.5 out of 5 stars, 63 ratings"
